name,number,id,path,description,aliases,courseQuality,professorQuality,difficulty,amountLearned,workRequired,RecommendToMajor,RecommendToNonMajor,numberReviewers
MODERN POLITICAL THOUGHT,null,42019,/courses/42019,This course will provide an overview of major figures and themes of modern political thought. We will focus on themes and questions pertinent to political theory in the modern era particularly focusing on the relationship of the individual to community society and state. Although the emergence of the individual as a central moral political and conceptual category arguably began in earlier eras it is in the seventeenth century that it takes firm hold in defining the state political institutions moral thinking and social relations. The centrality of the individual has created difficulties even paradoxes for community and social relations and political theorists have struggled to reconicle those throughout the modern era. We will consider the political forms that emerged out of those struggles as well as the changed and distinctly modern conceptualizations of political theory such as freedom responsibilty justice rights and obligations as central categories for organizing moral and political life.,[PSCI-181],3.01,3.29,2.13,-1.0,2.01,-1.0,-1.0,173
ADV TOPICS NEGOTIATION,null,43313,/courses/43313,This is a course the builds on the basic Negotiation course. In this course we explore a wide range of negotiation topics from crisis and hostage negotiations to the role of emotions including anxiety envy and anger in negotiations to backlash effects for women in negotiations and the role of alcohol in negotiations. We will survey many aspects of current negotiation research discuss historic negotiation cases and students will participate in role-play exercise. Many of the role play exercises will involve multi-party negotiations and afford opportunities to hone skills in team-based negotiations.,[OIDD-692 -- MGMT-692 -- LGST-692],2.0,2.24,1.61,2.22,1.73,2.04,2.09,34
COMMUNICATION BEHAVIOR,null,36973,/courses/36973,This course is an introduction to the fundamentals of communication behavior. It focuses on social science studies relating to the processes and effects of mass communication. Research reviewed includes media use behavior and media influences on knowledge perceptions of social reality aggressive behavior and political behavior.,[COMM-125],2.86,3.2,1.99,2.68,2.24,2.42,3.2,106
GAME THEORY,null,37031,/courses/37031,An introduction to game theory and its applications to economic analysis. The course will provide a theoretical overview of modern game theory emphasizing common themes in the analysis of strategic behavior in different social science contexts. The economic applications will be drawn from different areas including trade corporate strategy and public policy.,[ECON-212],3.05,3.07,2.34,-1.0,2.05,-1.0,-1.0,48
ABSTRACT ALGEBRA,null,41692,/courses/41692,An introduction to groups rings fields and other abstract algebraic systems elementary Galois Theory and linear algebra -- a more theoretical course than Math 370.,[MATH-502],3.2,3.32,3.22,-1.0,3.57,-1.0,-1.0,25
INTERTEMPORAL MACRO FIN,null,38629,/courses/38629,This is a doctoral level course on macroeconomics with special emphasis on intertemporal choice under uncertainty and topics related to finance. Topics include: optimal consumption and saving the stochastic growth model q-theory of investment (incomplete) risk sharing and asset pricing. The course will cover and apply techniques including dynamic programming to solve dynamic optimization problems under uncertainty. Numerical solution methods are also discussed.,[FNCE-924],2.75,2.75,2.25,2.5,2.25,1.88,2.5,12
SOUND STRUCTURE OF LANG,null,38856,/courses/38856,An introduction to phonetics and phonology. Topics include articulatory phonetics (the anatomy of the vocal tract; how speech sounds are produced); transcription (conventions for representing the sounds of the world's languages); classification (how speech sounds are classified and represented cognitively through distinctive features); phonology (the grammar of speech sounds in various languages: their patterning and interaction) and syllable structure and its role in phonology.,[LING-230 -- LING-503],3.0,3.27,3.14,-1.0,2.86,-1.0,-1.0,15
DIGITAL HUMANITIES,null,38356,/courses/38356,Among the recent trends in the humanistic disciplines Digital Humanities has without any doubt been at the forefront in the past few years but the fact remains that beyond buzz-words such as data metadata text-mining or information extraction few people know what exactly this label encompasses and even fewer have tried to apply its methods and principles to their work. This course proposes a structured approach to some of the main tools used by digital humanists in real-life textbased projects; students will be introduced to XML and the TEI to XSLT to R (through the Stylo package) and to simple Python scripts (through NLTK the Natural Language Tool Kit). All classes will be divided into two parts: a theoretical introduction and application exercises and a hands on section. The corpora we will use together will be mostly literature texts but students are welcome to bring their own research material if they are exploitable with the tools we'll be learning.,[COML-066 -- SAST-066 -- ENGL-278 -- RUSS-066],2.25,2.25,2.5,-1.0,2.5,-1.0,-1.0,4
CALCULUS II PROB&MATRIC,null,38873,/courses/38873,Functions of several variables partial derivatives multiple integrals differential equations; introduction to linear algebra and matrices with applications to linear programming and Markov processes. Elements of probability and statistics. Applications to social and biological sciences. Use of symbolic manipulation and graphics software in calculus.,[MATH-115],2.59,2.67,3.06,-1.0,3.53,-1.0,-1.0,43
WETLANDS,null,39920,/courses/39920,The course focuses on the natural history of different wetland types including climate geology andhydrology factors that influence wetland development Associated soil vegetation and wildlife characteristics and key ecological processes will be covered as well. Lectures will be supplemented with weekend wetland types ranging from tidal salt marshes to non-tidal marshes swamps and glacial bogs in order to provide field experience in wetland identification characterization and functional assessment. Outside speakers will discuss issues in wetland seed bank ecology federal regulation and mitigation. Students will present a short paper on the ecology of a wetland animal and a longer term paper on a selected wetland topic. Readings from the text assorted journal papers government technical documents and book excerpts will provide a broad overview of the multifaceted field of wetland study.,[ENVS-507],3.38,3.69,2.0,-1.0,3.0,-1.0,-1.0,13
