Timestamp,Pennkey,Course 1 Name,Course 1 Evaluation [Course Quality],Course 1 Evaluation [Instructor Quality],Course 1 Evaluation [Difficulty],Course 1 Evaluation [Work Required],Course 1 Evaluation [Amount Learned],Course 1 Evaluation [Would recommend to someone in major],Course 1 Evaluation [Would recommend to someone not in major],Course 2 Name,Course 2 Evaluation [Course Quality],Course 2 Evaluation [Instructor Quality],Course 2 Evaluation [Difficulty],Course 2 Evaluation [Work Required],Course 2 Evaluation [Amount Learned],Course 2 Evaluation [Would recommend to someone in major],Course 2 Evaluation [Would recommend to someone not in major],Course 3 Name,Course 3 Evaluation [Course Quality],Course 3 Evaluation [Instructor Quality],Course 3 Evaluation [Difficulty],Course 3 Evaluation [Work Required],Course 3 Evaluation [Amount Learned],Course 3 Evaluation [Would recommend to someone in major],Course 3 Evaluation [Would recommend to someone not in major],Course 4 Name,Course 4 Evaluation [Course Quality],Course 4 Evaluation [Instructor Quality],Course 4 Evaluation [Difficulty],Course 4 Evaluation [Work Required],Course 4 Evaluation [Amount Learned],Course 4 Evaluation [Would recommend to someone in major],Course 4 Evaluation [Would recommend to someone not in major],Course 5 Name,Course 5 Evaluation [Course Quality],Course 5 Evaluation [Instructor Quality],Course 5 Evaluation [Difficulty],Course 5 Evaluation [Work Required],Course 5 Evaluation [Amount Learned],Course 5 Evaluation [Would recommend to someone in major],Course 5 Evaluation [Would recommend to someone not in major]
3/16/2019 21:19:28,dorchang,CIS 120,4,4,3,3,3,5,3,CIS 160,4,5,4,4,5,5,2,JPAN 211,4,4,2,2,4,5,4,EAS 301,4,4,3,4,3,5,4,MATH 240,3,3,3,2,2,4,2
3/16/2019 21:21:35,chungsa,CIS-450,3,2,2,3,2,3,1,MUSC-030,5,5,1,2,3,4,4,PSYC-006,4,4,2,3,4,4,4,CIMS-102,4,4,3,3,3,4,4,CIS-350,3,2,2,2,2,2,2
3/17/2019 16:12:45,,URBS-178,5,5,3,3,5,5,3,SPAN-121,5,5,1,1,3,5,1,WH-101,3,4,2,2,4,4,3,WRIT-302,3,5,4,4,3,4,3,MATH-104,2,4,1,1,2,1,1
3/17/2019 16:16:06,,PHIL-025,3,3,2,2,3,4,3,WRIT-073,4,5,3,4,3,4,4,RUSS-026,5,5,2,2,5,5,5,COMM-395,4,4,2,4,4,4,4,PSCI-110,2,2,2,2,2,1,1
3/17/2019 16:17:14,tstat,EAS-546,5,5,5,5,5,5,5,EAS-595,5,5,1,1,3,5,5,CIMS-320,5,3,1,1,2,5,5,NETS-150,5,5,2,2,3,5,5,PHYS-151,1,1,5,5,1,1,1
3/17/2019 16:22:22,waandre,SOCI-307,4,5,2,2,3,3,5,CIS-110,3,3,5,5,4,4,4,NETS-212,3,4,3,4,5,5,4,EAS-507,4,5,2,3,2,4,3,HIST-011,4,4,3,3,4,2,3
3/17/2019 16:24:07,rgokhale,CIS-110,3,2,3,4,3,1,2,OIDD-290,4,4,3,3,4,5,4,CIS-550,4,4,3,3,4,5,5,NETS-212,3,2,2,4,2,2,1,PSYC-151,3,3,2,3,3,3,3
3/17/2019 16:25:10,sseg,MKTG-266,5,5,2,2,4,5,5,HSOC-010,2,1,3,4,3,2,1,PSYC-162,2,1,4,3,2,1,1,GSWS-149,4,5,1,2,2,5,5,PSCI-335,4,4,2,3,5,5,5
3/17/2019 16:26:52,name8,CIS 160,5,5,5,5,5,5,1,CIS 120,4,5,3,4,3,4,1,PSCI 150,4,4,2,2,4,5,5,STSC 208,4,5,4,4,4,3,2,ESE 224,1,3,2,3,2,2,1
3/17/2019 16:35:48,Levinean,Cis 121,5,5,5,5,5,5,5,Meam 201,5,5,5,5,5,5,5,Meam 101,5,5,5,5,5,5,5,Engr 105,5,5,5,5,5,5,5,Meam 203,5,5,5,5,5,5,5
3/17/2019 16:38:53,sambroo,ACCT-101,4,4,3,4,4,4,4,CRIM-100,4,4,2,2,3,5,4,MGMT-101,4,5,2,2,4,4,4,MKTG-101,4,4,3,2,3,4,4,FNCE-100,3,3,4,4,3,3,2
3/17/2019 16:43:17,krismc,Stat-430,4,5,5,2,5,5,1,FREN-121,3,5,2,3,1,1,1,Math-114,2,1,5,4,3,3,3,Acct-101,1,3,1,1,3,4,4,Lgst-100,1,3,2,3,1,1,1
3/17/2019 16:44:47,,GSWS-090,5,5,3,2,5,5,5,HCMG-101,4,3,4,4,4,4,1,ENGL-078,5,5,2,2,4,5,5,CLST-148,5,5,3,4,4,5,5,GEOL-130,3,4,5,5,4,4,1
3/17/2019 16:46:00,kerens,CRIM-270,5,5,4,4,4,5,4,PSYC-181,4,3,3,2,3,4,2,PSYC-170,3,3,2,2,3,3,3,RELS-002,3,4,3,4,3,2,4,EDUC-575,5,5,3,4,5,5,5
3/17/2019 17:49:23,jauckley,CIS-560,4,4,3,4,5,4,2,MEAM-354,1,2,2,2,1,2,1,MEAM-347,1,1,2,3,1,1,1,CIS-121,3,4,4,4,4,5,3,CIS-562,3,3,2,3,3,3,2
3/17/2019 17:49:48,knanwani,CIS-350,4,1,2,3,4,5,3,NETS-212,4,3,3,3,4,5,3,EAS-546,5,5,2,4,4,5,5,CIS-262,1,1,4,4,1,1,1,CIS-320,4,5,5,4,4,4,2
3/17/2019 18:07:02,35974167,GEOL-125,1,1,2,2,2,1,1,LGST-226,3,3,2,3,3,3,3,CHIN-025,3,3,1,1,3,3,3,PHIL-040,2,1,1,1,1,1,1,PSYC-001,3,3,2,2,2,2,2
3/17/2019 19:08:41,57371401,FNCE-230,5,5,4,4,5,5,5,FNCE-250,4,5,4,3,4,5,2,FNCE-251,3,3,4,3,3,4,1,REAL-321,5,3,2,4,4,5,4,REAL-205,3,5,2,3,3,3,4
3/17/2019 19:35:14,megancha,ESE-210,5,5,4,4,5,5,3,ECON-002,3,2,3,3,3,5,4,ESE-204,4,4,5,5,5,4,4,EAS-204,3,4,1,2,4,4,1,CIS-120,4,4,5,5,4,5,3
3/17/2019 20:02:32,monalee,MATH-114,3,3,2,4,4,5,3,FNAR-340,5,5,2,4,3,5,4,CIS-120,5,4,4,4,4,5,4,CIS-160,4,4,5,4,3,4,2,MEAM-210,4,4,3,4,4,5,1
3/17/2019 20:18:28,mukundv,NETS212,4,4,3,4,4,5,4,CIS121,4,2,3,4,4,5,4,ESE303,3,3,3,2,3,2,2,ECON101,4,4,4,4,3,4,3,CIS320,5,4,3,3,4,5,4
3/17/2019 20:20:53,54077422,Mktg277,3,5,1,2,3,4,4,Ppe314,4,3,3,3,4,4,4,Mktg211,4,5,2,3,3,4,4,Math170,3,5,2,3,4,3,5,Phil470,4,5,4,3,5,5,5
3/17/2019 20:51:00,26998831,BE 100,4,4,2,3,3,5,2,MATH 114,4,1,5,4,3,4,1,CHEM 101,4,3,5,3,3,4,2,MATH 240,2,2,5,5,3,4,1,PHYS 140,3,2,4,4,2,3,1
3/17/2019 21:32:30,83541208,Lgst 218,5,5,5,1,1,5,5,Fnce 209,5,5,3,4,5,5,1,Stat 430,1,3,5,5,1,1,1,Afrc 001,5,5,5,5,5,5,5,Fnce 384,4,3,2,3,5,5,1
3/17/2019 21:34:18,17041645,FNCE 100,2,1,5,4,3,1,1,ACCT 101,3,3,5,4,4,3,3,BEPP 203,4,4,3,3,3,4,4,MGMT 101,3,3,3,3,3,3,3,AFST 152,5,5,1,2,2,5,5
3/17/2019 23:40:48,tkumpf,CIS-160,5,5,5,5,5,4,3,CIS-320,5,5,4,4,5,5,3,ECON-212,3,3,2,3,3,4,2,NETS-412,5,5,4,4,5,5,4,MATH-312,4,3,3,3,4,4,3
